iter	TotalF1:average=Macro	MultiClass
110	0.9003908989	0.6147974399
111	0.9027187699	0.6067861316
112	0.9078424861	0.5991623333
113	0.9101170313	0.5919988675
114	0.9120542882	0.5847009016
115	0.9143643222	0.5780655029
116	0.9173121556	0.5700377888
117	0.9198880011	0.563868122
118	0.9229420466	0.5579796734
119	0.9240661061	0.5528127007
120	0.9246684383	0.5483388227
121	0.9268794534	0.5416318475
122	0.9268886696	0.5360214674
123	0.9291006786	0.5300248926
124	0.9312237221	0.5245184161
125	0.9316450264	0.5191730906
126	0.9326625357	0.5139109018
127	0.9332168138	0.5089329424
128	0.9351348351	0.5041572177
129	0.9355368467	0.49927309
130	0.9364648859	0.4944640691
131	0.9372801596	0.4891506208
132	0.9378077109	0.4854711105
133	0.9358817293	0.4813078011
134	0.9368651006	0.4770745766
135	0.9375359302	0.4724760973
136	0.938125445	0.468611208
137	0.9393983965	0.4641674074
138	0.9409983551	0.460025834
139	0.9422274678	0.4557052155
140	0.9424639541	0.4520496564
141	0.9437714561	0.4480510284
142	0.9448556846	0.4445040454
143	0.9449012648	0.4404393787
144	0.945278091	0.4365012516
145	0.9449357799	0.4331034786
146	0.9451752301	0.4297810548
147	0.9467022989	0.4240244412
148	0.9475202338	0.4206958566
149	0.9485764529	0.4174482974
150	0.9493710669	0.4134570762
151	0.9499981465	0.4105220932
152	0.950129678	0.4071359497
153	0.9503257174	0.4050085213
154	0.951868088	0.400459571
155	0.9527653705	0.3975988642
156	0.9524987622	0.3948039883
157	0.9545604356	0.3919994213
158	0.9550648921	0.3892729377
159	0.9553727099	0.3874066529
160	0.9573660718	0.3827070389
161	0.958094721	0.37966033
162	0.9579657059	0.3770992546
163	0.9584143637	0.3745429902
164	0.9585673254	0.3714797717
165	0.958861028	0.3684475996
166	0.9593024222	0.3664195062
167	0.9605913619	0.3636722903
168	0.9606786101	0.3615001094
169	0.9607104081	0.3593672816
170	0.9606739352	0.3570068835
171	0.9617451364	0.3543695591
172	0.9619229202	0.3514411522
173	0.9629953299	0.3483764454
174	0.9629167941	0.3462315036
175	0.9639057377	0.343885227
176	0.9641827801	0.3416286979
177	0.9639090707	0.3399798423
178	0.9650486614	0.3382466039
179	0.9655344267	0.3361246788
180	0.96581712	0.3337993421
181	0.966626918	0.3316353641
182	0.9670893383	0.3295690596
183	0.9673385053	0.327849735
184	0.9673117854	0.3264041525
185	0.9680188954	0.3239366666
186	0.9684429855	0.3215576821
187	0.9684678247	0.3195166094
188	0.9685806662	0.3170168309
