iter	Passed	Remaining
0	307	107311
1	430	74965
2	515	59671
3	602	52151
4	687	47456
5	773	44344
6	858	42049
7	941	40268
8	1029	39012
9	1113	37868
10	1194	36827
11	1277	35974
12	1356	35166
13	1438	34519
14	1515	33835
15	1597	33344
16	1683	32977
17	1766	32586
18	1846	32171
19	1928	31821
20	2011	31518
21	2091	31176
22	2171	30877
23	2260	30700
24	2336	30370
25	2426	30232
26	2516	30102
27	2597	29865
28	2671	29574
29	2760	29449
30	2834	29172
31	2917	28993
32	3002	28840
33	3081	28642
34	3156	28411
35	3236	28225
36	3311	28012
37	3396	27884
38	3474	27707
39	3560	27593
40	3646	27483
41	3732	27372
42	3818	27260
43	3904	27151
44	3989	27039
45	4082	26978
46	4172	26897
47	4260	26803
48	4349	26716
49	4448	26693
50	4544	26644
51	4646	26626
52	4737	26549
53	4830	26477
54	4921	26398
55	5013	26318
56	5102	26227
57	5195	26155
58	5294	26114
59	5395	26076
60	5484	25982
61	5573	25890
62	5658	25775
63	5745	25673
64	5833	25578
65	5917	25462
66	6015	25408
67	6100	25300
68	6185	25189
69	6266	25066
70	6353	24965
71	6437	24856
72	6529	24774
73	6614	24670
74	6699	24565
75	6783	24455
76	6869	24357
77	6959	24267
78	7051	24189
79	7139	24094
80	7223	23988
81	7312	23898
82	7398	23798
83	7483	23698
84	7569	23600
85	7654	23497
86	7739	23397
87	7835	23327
88	7920	23227
89	8011	23145
90	8104	23066
91	8189	22966
92	8273	22863
93	8357	22760
94	8442	22660
95	8529	22568
96	8614	22467
97	8697	22363
98	8781	22265
99	8865	22162
100	8948	22062
101	9046	21995
102	9137	21911
103	9222	21815
104	9320	21747
105	9403	21646
106	9490	21554
107	9582	21472
108	9671	21383
109	9757	21290
110	9849	21208
111	9935	21112
112	10019	21013
113	10109	20927
114	10197	20839
115	10283	20744
116	10367	20647
117	10449	20544
118	10542	20465
119	10632	20378
120	10719	20287
121	10804	20192
122	10878	20076
123	10969	19992
124	11050	19891
125	11144	19812
126	11215	19693
127	11306	19610
128	11399	19529
129	11485	19437
130	11573	19347
131	11657	19253
132	11737	19150
133	11825	19062
134	11915	18976
135	11997	18878
136	12082	18784
137	12169	18695
138	12260	18610
139	12352	18529
140	12442	18443
141	12537	18364
142	12617	18264
143	12693	18158
144	12780	18068
145	12870	17984
146	12943	17874
147	13017	17767
148	13098	17670
149	13175	17567
150	13245	17455
151	13329	17363
152	13411	17268
153	13497	17178
154	13586	17092
155	13668	16998
156	13749	16902
157	13829	16805
158	13909	16708
159	13987	16609
160	14074	16521
161	14155	16427
162	14241	16338
163	14319	16239
164	14417	16165
165	14495	16067
166	14570	15966
167	14656	15878
168	14731	15777
169	14818	15689
170	14892	15589
171	14967	15489
172	15039	15386
173	15122	15296
174	15215	15215
175	15287	15113
176	15368	15020
177	15443	14922
178	15525	14831
179	15604	14737
180	15678	14638
181	15760	14548
182	15833	14449
183	15909	14352
184	15985	14257
185	16069	14168
186	16147	14075
187	16227	13983
188	16310	13893
189	16389	13801
190	16464	13705
191	16543	13614
192	16618	13518
193	16694	13424
194	16769	13329
195	16847	13237
196	16926	13146
197	17001	13051
198	17075	12957
199	17154	12865
200	17240	12780
201	17315	12686
202	17395	12596
203	17466	12500
204	17534	12402
205	17609	12309
206	17681	12214
207	17757	12122
208	17826	12026
209	17899	11933
210	17975	11841
211	18047	11748
212	18130	11661
213	18205	11569
214	18281	11479
215	18354	11386
216	18427	11294
217	18502	11203
218	18581	11115
219	18656	11024
220	18728	10932
221	18802	10840
222	18881	10753
223	18955	10662
224	19027	10570
225	19098	10478
226	19173	10389
227	19254	10302
228	19327	10212
229	19398	10120
230	19472	10031
231	19541	9939
232	19611	9847
233	19685	9758
234	19757	9668
235	19829	9578
236	19905	9490
237	19978	9401
238	20049	9311
239	20119	9221
240	20193	9133
241	20267	9044
242	20339	8956
243	20412	8867
244	20482	8778
245	20552	8688
246	20623	8600
247	20693	8511
248	20762	8421
249	20831	8332
250	20901	8244
251	20971	8155
252	21043	8067
253	21112	7979
254	21183	7891
255	21260	7806
256	21340	7722
257	21411	7635
258	21480	7547
259	21551	7460
260	21623	7373
261	21696	7287
262	21767	7200
263	21837	7113
264	21908	7027
265	21980	6941
266	22058	6857
267	22130	6771
268	22201	6685
269	22274	6599
270	22345	6513
271	22414	6427
272	22483	6341
273	22553	6255
274	22622	6169
275	22692	6084
276	22761	5998
277	22828	5912
278	22900	5827
279	22969	5742
280	23041	5657
281	23112	5573
282	23182	5488
283	23249	5403
284	23318	5318
285	23386	5233
286	23459	5149
287	23527	5065
288	23596	4980
289	23665	4896
290	23736	4812
291	23805	4728
292	23876	4644
293	23947	4561
294	24017	4477
295	24085	4393
296	24157	4310
297	24226	4227
298	24298	4144
299	24365	4060
300	24434	3977
301	24503	3894
302	24573	3811
303	24641	3728
304	24712	3646
305	24787	3564
306	24854	3481
307	24924	3398
308	24993	3316
309	25061	3233
310	25131	3151
311	25198	3069
312	25266	2986
313	25339	2905
314	25406	2822
315	25474	2740
316	25547	2659
317	25618	2577
318	25686	2496
319	25754	2414
320	25823	2332
321	25894	2251
322	25963	2170
323	26031	2088
324	26100	2007
325	26169	1926
326	26238	1845
327	26306	1764
328	26376	1683
329	26448	1602
330	26520	1522
331	26588	1441
332	26657	1360
333	26724	1280
334	26792	1199
335	26860	1119
336	26930	1038
337	27000	958
338	27072	878
339	27140	798
340	27208	718
341	27275	638
342	27344	558
343	27413	478
344	27480	398
345	27548	318
346	27617	238
347	27684	159
348	27752	79
349	27820	0
