iter	TotalF1:average=Macro	MultiClass
128	0.9664830872	0.3723286998
129	0.9670667003	0.3671574138
130	0.9684908221	0.3627004316
131	0.9684714511	0.3576352215
132	0.9697484507	0.3528887482
133	0.9705326682	0.3476216288
134	0.9710142938	0.3420493115
135	0.9715010813	0.3384699834
136	0.9723567256	0.3336863004
137	0.973301214	0.3305048623
138	0.9734922342	0.3263636302
139	0.9737196386	0.3224407886
140	0.9739570488	0.3186683337
141	0.9746903557	0.3155320691
142	0.9748239746	0.3124661973
143	0.9748239746	0.3095067112
144	0.974829121	0.3063657566
145	0.9754293388	0.3039442825
146	0.9759641366	0.301368506
147	0.9759645142	0.2990644344
148	0.9755969773	0.2959162016
149	0.9762221039	0.2932444148
150	0.9769187801	0.290948285
151	0.977125853	0.2882304176
152	0.977652729	0.2854940339
153	0.977917675	0.2829225049
154	0.9787828493	0.2810202831
155	0.9787828493	0.2787611859
156	0.9793987288	0.276328363
157	0.9796907218	0.2740671864
158	0.9802285922	0.2720267008
159	0.9808172015	0.2698249001
160	0.9810395086	0.266992683
161	0.9814160037	0.265223659
162	0.9812843735	0.2631973095
163	0.9811491808	0.2609580117
164	0.9814096149	0.2590233145
165	0.981517534	0.2571056956
166	0.9818976316	0.2543515921
167	0.9826440021	0.2525102505
168	0.9827684186	0.2499360447
169	0.9831209771	0.2476344287
170	0.983370022	0.2455221787
171	0.9835239759	0.2433543356
172	0.983599533	0.2413559264
173	0.9839442483	0.2395902871
174	0.9839995065	0.2378913241
175	0.9840410625	0.2359275804
176	0.9839418027	0.2339454753
177	0.9840414086	0.2322934999
178	0.9844738844	0.2295045981
179	0.9845682825	0.2276936967
180	0.9847840434	0.2264029989
181	0.9848919206	0.2249201477
182	0.9848919206	0.223029164
183	0.9851727461	0.2213140296
184	0.9851571412	0.2194821785
185	0.9851571412	0.2175484768
186	0.985154146	0.2156386007
187	0.9857267473	0.2137893395
188	0.9858409424	0.2119922424
189	0.9860320521	0.2103623006
190	0.9863518954	0.2087823108
191	0.9866609503	0.2067719778
192	0.9868661297	0.2052094645
193	0.9869144111	0.2039684753
194	0.9868680638	0.2024037277
195	0.9867731511	0.2008401526
196	0.9867731511	0.1992331737
197	0.9876059595	0.1975136591
198	0.9877733546	0.1958671257
199	0.9878000302	0.1943578827
200	0.9879601735	0.1928990783
201	0.9883510992	0.1917626166
202	0.9886248014	0.1902185753
203	0.9885012799	0.18917996
204	0.9884543703	0.1879285734
205	0.9883322467	0.1866170144
206	0.988551754	0.1852926798
207	0.9888023202	0.1838235444
208	0.989111446	0.1826127299
209	0.9901471124	0.1809166206
210	0.9904180796	0.1799285656
211	0.9903697786	0.1784375071
212	0.9904707934	0.1773409869
213	0.9908508898	0.1762910008
214	0.9911770705	0.1751066003
215	0.9916086991	0.1739479167
216	0.9916425774	0.1723817312
217	0.9915960876	0.1713483146
218	0.9913715018	0.1698531303
219	0.9918035612	0.1686132029
220	0.9915933246	0.1673388977
221	0.9917461831	0.1663668481
222	0.9917461831	0.1652930254
223	0.9918988996	0.1643255883
224	0.9923982596	0.1629967961
225	0.9924490299	0.1621299155
226	0.992664905	0.1613429181
227	0.992664905	0.1604570898
228	0.992664905	0.1595821567
229	0.9924490299	0.1584917202
230	0.9928223371	0.1577265464
231	0.9928223371	0.1569337088
232	0.9928588017	0.1561068251
233	0.9931851296	0.155130506
234	0.9931851296	0.1542977267
235	0.9932627226	0.1534544505
236	0.9932627226	0.1523965225
237	0.9932627226	0.1515691079
238	0.9932627226	0.1506826602
239	0.9933131718	0.1497190392
240	0.9935174255	0.1489283585
241	0.993618554	0.1480465454
242	0.9935174255	0.1470744184
243	0.9939083906	0.146252844
244	0.9939083906	0.1454715653
245	0.9939083906	0.144764772
246	0.9939083906	0.1440865937
247	0.9938315004	0.1432340151
248	0.9938699457	0.1425869407
249	0.9938315004	0.1420346267
250	0.9938072601	0.1412926259
251	0.9938072601	0.1406135296
252	0.9937986042	0.1398586537
253	0.9940066293	0.1391773894
254	0.994192717	0.1383384823
255	0.994192717	0.137763294
256	0.9940003708	0.1369939391
257	0.994192717	0.1363178514
258	0.9941221515	0.1355752644
259	0.9943225161	0.1348180436
260	0.9942230441	0.1343030276
261	0.9942230441	0.1336943684
262	0.9946362914	0.1330362993
263	0.9946867691	0.1324043564
264	0.9946867691	0.1318232725
265	0.9946867691	0.1312899505
266	0.9947284592	0.1305978463
267	0.9949778734	0.1298915508
268	0.9950046446	0.1293209528
269	0.9950461787	0.1287915243
270	0.9952216625	0.1281505666
271	0.9953757383	0.1275462766
272	0.9953677559	0.1268356119
273	0.995419872	0.1262090226
274	0.9952521988	0.1257452196
275	0.995419872	0.1251738805
276	0.995419872	0.1246411336
277	0.995419872	0.1239874889
278	0.9954643711	0.1234076107
279	0.9958331169	0.1228679727
280	0.9958331169	0.1224406271
281	0.9957463426	0.1218517894
282	0.9959725593	0.1211151643
283	0.9957463426	0.1205431616
284	0.9959776646	0.120100253
285	0.9958468841	0.119681723
286	0.9961833257	0.1192175328
287	0.996227701	0.1188144331
288	0.9963609431	0.118356415
289	0.9963710528	0.1176346008
290	0.9965324636	0.1169652493
291	0.9966588425	0.1164344824
292	0.9966588425	0.1159391884
293	0.9966588425	0.1155123515
294	0.9966588425	0.115027997
295	0.9967031546	0.114510083
296	0.9967567338	0.1140974376
297	0.9967031546	0.1137009303
298	0.9969533374	0.1132844245
299	0.9969533374	0.1128349678
300	0.9969533374	0.1123936298
301	0.9970492194	0.1119061007
302	0.9972382352	0.1113388653
303	0.9973711686	0.1108913995
304	0.9975234256	0.1104603595
305	0.9976234825	0.1098403295
306	0.9975535123	0.1093075383
307	0.9976136826	0.1089085534
308	0.9977138761	0.1085369114
309	0.9977982068	0.1080988365
310	0.9977982068	0.1076962567
311	0.9977982068	0.1072090815
312	0.9977982068	0.1068103952
313	0.9977982068	0.1063765788
314	0.9977982068	0.1058507009
315	0.9977982068	0.1054540609
316	0.9977982068	0.1050648981
317	0.9977982068	0.104634378
318	0.9977982068	0.1040960784
319	0.9978584644	0.1037007436
320	0.9978584644	0.1032385112
321	0.9978584644	0.1027919414
322	0.9978584644	0.1020513564
323	0.9978584644	0.1016648484
324	0.9978584644	0.101230667
325	0.9978584644	0.1008335845
326	0.9978584644	0.1004310821
327	0.9978584644	0.1000239783
328	0.9978584644	0.09960655442
329	0.9978584644	0.09925833989
330	0.9978584644	0.09891135315
331	0.9978584644	0.09851231286
332	0.9978584644	0.09812061715
333	0.9978584644	0.09760071221
334	0.997984796	0.0971704575
335	0.9978584644	0.09673332278
336	0.9978584644	0.09631490344
337	0.997984796	0.09593041957
338	0.997984796	0.09559645174
339	0.997984796	0.09498686339
340	0.997984796	0.09463003227
341	0.997984796	0.09431543243
342	0.997984796	0.09393610303
343	0.997984796	0.09352708563
344	0.9980751383	0.09323628928
345	0.9980751383	0.09292300571
346	0.9980751383	0.09260510966
347	0.9980751383	0.09215864491
348	0.9980751383	0.09185618462
349	0.9981353626	0.09153687276
350	0.9981353626	0.09091820878
351	0.9981353626	0.09060602026
352	0.9981353626	0.09029551856
353	0.9981353626	0.08996951472
354	0.9981353626	0.08971455081
355	0.9981353626	0.08941603381
356	0.9981581047	0.08899497087
357	0.9981581047	0.08863770283
358	0.9981581047	0.08830065449
359	0.9981581047	0.08785009159
360	0.9981581047	0.08739690722
361	0.9981581047	0.08713125828
362	0.9981581047	0.08688402608
363	0.9981581047	0.08662470962
364	0.9981581047	0.08633243662
365	0.998203307	0.08605431076
366	0.998406704	0.08561567726
367	0.998406704	0.08532063345
368	0.9984509843	0.08496383551
369	0.9984509843	0.08472930698
370	0.9984509843	0.08452932227
371	0.9984509843	0.08423993068
372	0.9984509843	0.08390992826
373	0.9984509843	0.08349358288
374	0.9984509843	0.08316577056
375	0.9985869037	0.08290230619
376	0.9985869037	0.08256994222
377	0.9985869037	0.08235027428
378	0.9985869037	0.08205540191
379	0.9985869037	0.0818034964
380	0.9985869037	0.08142642346
381	0.9985869037	0.08122248994
382	0.9985869037	0.08103684594
383	0.9985869037	0.08082240991
384	0.9985869037	0.08058977836
385	0.9985869037	0.08035490693
386	0.9985869037	0.08013942009
387	0.9985869037	0.07997173933
388	0.9985869037	0.0796894379
389	0.9985869037	0.07932791134
390	0.9985869037	0.07914491096
391	0.9985869037	0.07883164951
392	0.9985869037	0.07850891976
393	0.9985869037	0.07817936531
394	0.9985869037	0.07805623313
395	0.9985869037	0.07781025637
396	0.9986171667	0.07779759141
397	0.9985869037	0.07759788322
398	0.9985869037	0.07742879217
399	0.9986171667	0.07723128515
400	0.9986171667	0.07696995557
401	0.9986171667	0.0767916838
402	0.998866098	0.07649945504
403	0.998866098	0.07619186794
404	0.998866098	0.07596404244
405	0.998866098	0.07578375202
406	0.998866098	0.07546659154
407	0.998866098	0.07531524802
408	0.998866098	0.07505672243
409	0.998866098	0.07504571111
410	0.998866098	0.07490817737
411	0.998866098	0.07476266306
412	0.998866098	0.07454082161
413	0.998866098	0.07424315079
414	0.998866098	0.07402889173
415	0.998866098	0.07401892568
416	0.9989266226	0.07386964506
417	0.9989266226	0.07376461437
418	0.9989266226	0.07348943076
419	0.9989266226	0.07321909192
420	0.9989266226	0.0731320134
421	0.9989266226	0.07295904543
422	0.9989266226	0.07295008594
423	0.9989266226	0.07280129754
424	0.9989266226	0.0725914242
425	0.9989266226	0.07245574874
426	0.9989266226	0.07244767413
427	0.9989266226	0.07219792
428	0.9989266226	0.07190749973
429	0.9989266226	0.07174665472
430	0.9989266226	0.07150710446
431	0.9989266226	0.07149921789
432	0.9989266226	0.07136441072
433	0.9989266226	0.07111690752
434	0.9989266226	0.07088842942
435	0.9989266226	0.07052976215
436	0.9989266226	0.07052278259
437	0.9989266226	0.07032785281
438	0.9989266226	0.07009668686
439	0.9989266226	0.06998537899
440	0.9989266226	0.06972038266
441	0.9989266226	0.06952801352
442	0.9989266226	0.0693422368
443	0.9989266226	0.06911216589
444	0.9989266226	0.06901549187
445	0.9989266226	0.06900937508
446	0.9991671532	0.0687746751
447	0.9989266226	0.06868525716
448	0.9991671532	0.06842695833
449	0.9991671532	0.06817529615
450	0.9991671532	0.06816946142
451	0.9991671532	0.06816390322
452	0.9991671532	0.06789627988
453	0.9991671532	0.06769567022
454	0.9991671532	0.06755549841
455	0.9991671532	0.06733317581
456	0.9991671532	0.06732780564
457	0.9991671532	0.06724192172
458	0.9991671532	0.06709972021
