iter	TotalF1:average=Weighted	MultiClass
0	0.5831245123	3.117359438
1	0.5827989423	2.846556439
2	0.5831889066	2.637444351
3	0.6357435326	2.445768474
4	0.6768211917	2.291996893
5	0.6758829188	2.165215327
6	0.6972834281	2.053480486
7	0.7935215577	1.919280485
8	0.8200609735	1.807229068
9	0.8429195093	1.707961329
10	0.8487845682	1.631244099
11	0.8619506666	1.547702426
12	0.8760905921	1.478476432
13	0.8821862116	1.423055265
14	0.8867233124	1.368530327
15	0.887344973	1.306953306
16	0.8885324675	1.250678652
17	0.8919229854	1.216605806
18	0.8966172575	1.168231207
19	0.8992319354	1.124025868
20	0.9079383669	1.080876424
21	0.9070788308	1.044304752
22	0.913659449	1.001607904
23	0.9175603291	0.9644798809
24	0.927082012	0.9287365317
25	0.9301802086	0.8977905603
26	0.9304101555	0.8689763048
27	0.9313843618	0.8407248813
28	0.9344547265	0.8131510072
29	0.9348554282	0.790156865
30	0.9477926634	0.765752954
31	0.9515382006	0.7488098075
32	0.9512079749	0.7311806318
33	0.9518224145	0.7138833369
34	0.9518048632	0.6929707906
35	0.9541153754	0.6679283507
36	0.9546253856	0.6486077836
37	0.954882188	0.6350793397
38	0.9593052217	0.6192332469
39	0.9593052217	0.6022386016
40	0.9598305255	0.5876332348
41	0.9598305255	0.5741003098
42	0.9601325425	0.5583166773
43	0.965335518	0.5424706533
44	0.9656455701	0.5283186407
45	0.9656455701	0.5164084768
46	0.9670270251	0.5051807915
47	0.9675630126	0.494301636
48	0.9678380418	0.4796723124
49	0.9694359646	0.4656371198
50	0.974785595	0.4524486226
51	0.9756472515	0.4400424303
52	0.9775853351	0.4283355725
53	0.977583857	0.4176031229
54	0.9805933871	0.4064754017
55	0.9820542831	0.3952879778
56	0.9820542831	0.3854456218
57	0.9822587135	0.376186125
58	0.9822400169	0.3673800514
59	0.9819274108	0.3616838246
60	0.9822338517	0.3533404466
61	0.9827814178	0.3434150515
62	0.9827814178	0.3378832828
63	0.9830921829	0.3291935811
64	0.9830921829	0.3221204358
65	0.9830921829	0.3136410378
66	0.9832255634	0.3091656477
67	0.9832255634	0.3025026652
