iter	Passed	Remaining
399	39461	128249
400	39551	128123
401	39634	127973
402	39721	127836
403	39804	127688
404	39885	127535
405	39971	127396
406	40055	127252
407	40147	127133
408	40231	126990
409	40313	126839
410	40386	126661
411	40472	126526
412	40559	126391
413	40642	126245
414	40736	126136
415	40841	126058
416	40923	125911
417	41007	125769
418	41077	125585
419	41149	125407
420	41220	125227
421	41293	125055
422	41372	124900
423	41451	124745
424	41528	124584
425	41609	124438
426	41689	124286
427	41789	124195
428	41871	124052
429	41988	124011
430	42076	123885
431	42168	123772
432	42256	123647
433	42338	123503
434	42455	123463
435	42567	123405
436	42648	123260
437	42736	123134
438	42823	123007
439	42925	122922
440	43032	122851
441	43121	122731
442	43204	122592
443	43293	122470
444	43364	122297
445	43434	122122
446	43538	122044
447	43626	121921
448	43727	121831
449	43820	121724
450	43906	121595
451	44025	121557
452	44117	121444
453	44204	121318
454	44290	121191
455	44377	121065
456	44466	120944
457	44554	120822
458	44631	120670
459	44725	120565
460	44805	120421
461	44884	120273
462	44961	120123
463	45053	120014
464	45139	119887
465	45225	119759
466	45315	119643
467	45400	119514
468	45503	119434
469	45583	119292
470	45657	119135
471	45728	118970
472	45812	118840
473	45899	118720
474	45984	118592
475	46062	118445
476	46154	118338
477	46243	118221
478	46318	118068
479	46410	117960
480	46494	117831
481	46577	117700
482	46676	117608
483	46766	117495
484	46841	117344
485	46918	117200
486	46993	117048
487	47080	116929
488	47169	116813
489	47246	116670
490	47337	116559
491	47408	116401
492	47492	116273
493	47596	116197
494	47671	116048
495	47756	115925
496	47845	115810
497	47920	115662
498	48011	115555
499	48085	115404
500	48158	115253
501	48251	115149
502	48340	115037
503	48425	114915
504	48499	114767
505	48580	114635
506	48688	114566
507	48774	114447
508	48868	114347
509	48941	114197
510	49048	114126
511	49119	113971
512	49217	113882
513	49308	113774
514	49390	113647
515	49497	113575
516	49585	113462
517	49671	113342
518	49780	113277
519	49859	113143
520	49935	113001
521	50021	112883
522	50121	112796
523	50203	112671
524	50285	112543
525	50371	112426
526	50465	112327
527	50561	112232
528	50658	112137
529	50752	112039
530	50829	111900
531	50918	111790
532	51002	111669
533	51087	111550
534	51173	111433
535	51258	111315
536	51335	111179
537	51419	111057
538	51508	110948
539	51584	110811
540	51669	110692
541	51742	110548
542	51815	110406
543	51898	110284
544	52005	110214
545	52080	110074
546	52175	109979
547	52249	109838
548	52333	109718
549	52418	109603
550	52511	109501
551	52593	109378
552	52666	109238
553	52741	109100
554	52825	108983
555	52909	108864
556	52986	108732
557	53055	108582
558	53144	108474
559	53251	108405
560	53319	108255
561	53389	108108
562	53460	107965
563	53550	107860
564	53626	107728
565	53715	107621
566	53800	107505
567	53887	107394
568	53978	107292
569	54049	107150
570	54139	107045
571	54224	106931
572	54301	106801
573	54410	106735
574	54493	106617
575	54578	106503
576	54664	106392
577	54744	106268
578	54836	106168
579	54934	106080
580	55016	105960
581	55121	105885
582	55197	105755
583	55275	105628
584	55364	105523
585	55457	105425
586	55527	105285
587	55618	105183
588	55697	105058
589	55772	104927
590	55861	104822
591	55936	104692
592	56019	104575
593	56098	104453
594	56175	104326
595	56265	104223
596	56377	104161
597	56456	104039
598	56540	103924
599	56619	103802
600	56729	103735
601	56821	103637
602	56913	103538
603	57008	103446
604	57082	103314
605	57154	103179
606	57254	103095
607	57332	102972
608	57420	102867
609	57506	102758
610	57592	102648
611	57674	102532
612	57782	102462
613	57855	102330
614	57926	102194
615	58020	102101
616	58102	101984
617	58192	101883
618	58266	101755
619	58348	101639
620	58421	101508
621	58502	101391
622	58597	101298
623	58675	101177
624	58747	101045
625	58833	100938
626	58908	100811
627	59005	100723
628	59085	100605
629	59166	100489
630	59250	100378
631	59342	100281
632	59439	100191
633	59513	100064
634	59583	99931
635	59654	99799
636	59730	99676
637	59801	99543
638	59891	99445
639	59986	99352
640	60072	99246
641	60153	99131
