iter	TotalF1:average=Weighted	MultiClass
71	0.9524978478	0.47358888
72	0.9524978478	0.466075893
73	0.9585150781	0.4581315439
74	0.9585150781	0.4495583864
75	0.9585090253	0.4437686416
76	0.9585090253	0.438589022
77	0.9585090253	0.4333119548
78	0.9585090253	0.4291451434
79	0.9585090253	0.4243213614
80	0.960701072	0.4175154993
81	0.9647079871	0.4114458206
82	0.9635019347	0.4082360787
83	0.9635019347	0.4045935269
84	0.9648415106	0.3996604394
85	0.9648415106	0.3949332433
86	0.9648415106	0.3912767655
87	0.966047563	0.3869685567
88	0.966047563	0.380604639
89	0.966047563	0.3762326256
90	0.966047563	0.3731770695
91	0.966047563	0.3689792003
92	0.9660497909	0.3641553494
93	0.9660497909	0.3606270324
94	0.9660497909	0.3578765735
95	0.9660497909	0.3534310692
96	0.9660497909	0.3478414248
97	0.9660497909	0.3435175664
98	0.9676041764	0.3408097129
99	0.9676041764	0.3383045106
100	0.9676041764	0.3337255026
101	0.9676041764	0.3303074218
102	0.9676041764	0.3277165607
103	0.9676041764	0.3252947078
104	0.9676041764	0.3216961747
105	0.9676041764	0.3172826933
106	0.9676041764	0.314867114
107	0.9676041764	0.312709304
108	0.9676041764	0.3099373012
109	0.9676041764	0.3079550487
110	0.9676041764	0.3039650702
111	0.9676041764	0.2997940189
112	0.9676041764	0.2971464885
113	0.9676041764	0.2945172964
114	0.9685235457	0.2918758673
115	0.9685235457	0.2895292287
116	0.9685235457	0.2869794045
117	0.9685235457	0.2832454201
118	0.9696418378	0.2796420612
119	0.9696418378	0.2760830828
120	0.9696418378	0.2729785444
121	0.9696418378	0.2707316285
122	0.9696418378	0.2679038182
123	0.9696418378	0.26628559
124	0.9696418378	0.2630969094
125	0.9696418378	0.2599637606
126	0.9696418378	0.2572570619
127	0.9696418378	0.2544473829
128	0.9696418378	0.2528166764
129	0.9696418378	0.251046882
130	0.9696418378	0.2482171758
131	0.9701925801	0.2460243784
132	0.9701925801	0.2431062902
133	0.9701925801	0.2406425213
134	0.9701925801	0.2392037457
135	0.9701925801	0.2377294657
136	0.9701925801	0.2351084948
137	0.9701925801	0.2329189376
138	0.9701925801	0.2308616087
139	0.9701925801	0.2291975866
140	0.9701925801	0.226310694
141	0.9701925801	0.2243979338
142	0.9701925801	0.2225291061
143	0.9701925801	0.2213409128
144	0.9701925801	0.2190006684
145	0.9701925801	0.2179246762
146	0.9729809418	0.2165231631
147	0.9729809418	0.2149978153
148	0.9729809418	0.2134401515
149	0.9729809418	0.2112783601
150	0.9729809418	0.2100371859
151	0.9729809418	0.2083906748
152	0.9740807598	0.2072173382
153	0.9740807598	0.206094811
154	0.9740807598	0.2045195328
