iter	Passed	Remaining
0	250	87359
1	303	52739
2	354	40958
3	406	35136
4	452	31189
5	488	27994
6	524	25690
7	560	23942
8	596	22604
9	632	21516
10	669	20627
11	706	19888
12	743	19263
13	780	18722
14	814	18193
15	849	17736
16	885	17353
17	922	17009
18	957	16673
19	992	16383
20	1030	16151
21	1069	15945
22	1104	15709
23	1140	15495
24	1176	15300
25	1215	15145
26	1253	14991
27	1287	14806
28	1323	14647
29	1361	14526
30	1396	14370
31	1432	14239
32	1469	14118
33	1506	13997
34	1539	13858
35	1574	13731
36	1611	13628
37	1645	13510
38	1683	13420
39	1717	13313
40	1754	13223
41	1791	13136
42	1827	13048
43	1866	12979
44	1902	12894
45	1939	12814
46	1973	12723
47	2010	12646
48	2043	12555
49	2078	12469
50	2114	12397
51	2151	12327
52	2187	12256
53	2223	12189
54	2259	12119
55	2299	12069
56	2336	12010
57	2374	11956
58	2412	11896
59	2448	11834
60	2484	11770
61	2520	11708
62	2556	11646
63	2593	11589
64	2630	11533
65	2665	11471
66	2704	11423
67	2742	11375
68	2783	11336
69	2818	11273
70	2856	11224
71	2891	11164
72	2927	11107
73	2961	11046
74	2998	10992
75	3033	10935
76	3067	10876
77	3104	10824
78	3140	10772
79	3174	10712
80	3210	10663
81	3248	10615
82	3284	10567
83	3321	10517
84	3359	10472
85	3395	10423
86	3431	10374
87	3468	10326
88	3504	10277
89	3541	10229
90	3577	10182
91	3613	10132
92	3649	10086
93	3687	10041
94	3724	9996
95	3761	9951
96	3797	9904
97	3832	9855
98	3869	9809
99	3905	9764
100	3941	9718
101	3976	9669
102	4013	9624
103	4049	9579
104	4086	9535
105	4121	9487
106	4158	9444
107	4194	9399
108	4231	9356
109	4268	9313
110	4304	9269
111	4343	9229
112	4382	9191
113	4418	9146
114	4453	9099
115	4489	9056
116	4526	9013
117	4563	8972
118	4598	8925
119	4634	8882
120	4669	8837
121	4704	8792
122	4741	8750
123	4779	8711
124	4814	8665
125	4850	8623
126	4885	8578
127	4922	8537
128	4958	8494
129	4992	8449
130	5026	8402
131	5059	8356
132	5096	8314
133	5130	8270
134	5167	8229
135	5201	8183
136	5237	8143
137	5272	8099
138	5306	8054
139	5341	8012
140	5376	7970
141	5414	7930
142	5450	7890
143	5485	7847
144	5519	7803
145	5553	7760
146	5588	7717
147	5622	7674
148	5659	7634
149	5694	7592
150	5728	7548
151	5762	7506
152	5796	7463
153	5833	7424
154	5867	7381
155	5902	7340
156	5935	7296
157	5969	7253
158	6005	7214
159	6034	7165
160	6071	7127
161	6108	7088
162	6142	7047
163	6179	7008
164	6216	6969
165	6250	6927
166	6278	6879
167	6314	6840
168	6343	6793
169	6372	6746
170	6408	6708
171	6445	6669
172	6475	6625
173	6511	6586
174	6546	6546
175	6575	6500
176	6608	6459
177	6637	6413
178	6672	6374
179	6706	6333
180	6734	6288
181	6771	6250
182	6804	6209
183	6834	6165
184	6869	6126
185	6903	6086
186	6937	6047
187	6971	6007
188	7007	5969
189	7041	5929
190	7074	5889
191	7111	5852
192	7140	5808
193	7168	5764
194	7197	5721
195	7225	5677
196	7262	5640
197	7290	5596
198	7319	5553
199	7356	5517
200	7390	5478
201	7421	5437
202	7455	5399
203	7484	5356
204	7513	5314
205	7542	5272
206	7570	5230
207	7604	5191
208	7633	5149
209	7662	5108
210	7690	5066
211	7719	5024
212	7752	4986
213	7781	4945
214	7809	4903
215	7838	4862
216	7867	4822
217	7896	4781
218	7931	4744
219	7959	4703
220	7988	4662
221	8022	4625
222	8050	4584
223	8079	4544
224	8107	4504
225	8135	4463
226	8163	4423
227	8192	4383
228	8220	4343
229	8249	4304
230	8277	4264
231	8305	4224
232	8334	4184
233	8362	4145
234	8391	4106
235	8419	4067
236	8448	4028
237	8477	3989
238	8506	3950
239	8534	3911
240	8563	3873
241	8592	3834
242	8620	3795
243	8648	3757
244	8677	3718
245	8706	3680
246	8734	3642
247	8763	3604
248	8791	3566
249	8820	3528
250	8849	3490
251	8878	3452
252	8911	3416
253	8941	3379
254	8970	3341
255	9000	3304
256	9031	3268
257	9060	3231
258	9090	3193
259	9119	3156
260	9148	3119
261	9176	3082
262	9204	3044
263	9233	3007
264	9262	2970
265	9290	2933
266	9318	2896
267	9347	2859
268	9375	2823
269	9404	2786
270	9432	2749
271	9461	2713
272	9490	2676
273	9519	2640
274	9548	2604
275	9577	2567
276	9605	2531
277	9633	2495
278	9662	2459
279	9691	2422
280	9719	2386
281	9748	2350
282	9776	2314
283	9805	2278
284	9834	2242
285	9862	2207
286	9891	2171
287	9920	2135
288	9948	2099
289	9977	2064
290	10006	2028
291	10034	1993
292	10063	1957
293	10091	1922
294	10119	1886
295	10147	1851
296	10176	1816
297	10205	1780
298	10233	1745
299	10261	1710
300	10290	1675
301	10319	1640
302	10348	1605
303	10378	1570
304	10408	1535
305	10437	1500
306	10466	1466
307	10496	1431
308	10527	1396
309	10555	1362
310	10584	1327
311	10612	1292
312	10641	1257
313	10669	1223
314	10698	1188
315	10727	1154
316	10755	1119
317	10787	1085
318	10818	1051
319	10849	1017
320	10878	982
321	10906	948
322	10935	914
323	10964	879
324	10993	845
325	11021	811
326	11050	777
327	11078	743
328	11106	708
329	11134	674
330	11163	640
331	11191	606
332	11219	572
333	11248	538
334	11276	504
335	11305	471
336	11333	437
337	11362	403
338	11390	369
339	11419	335
340	11447	302
341	11475	268
342	11504	234
343	11532	201
344	11561	167
345	11590	133
346	11619	100
347	11647	66
348	11675	33
349	11703	0
