iter	TotalF1:average=Weighted	MultiClass
0	0.5123597827	3.139364212
1	0.6345782905	2.85948172
2	0.7167863067	2.618309165
3	0.6984878321	2.438174792
4	0.7247491216	2.280862277
5	0.7513246685	2.142467785
6	0.8168563257	2.025377078
7	0.8239420914	1.915987601
8	0.8332307633	1.803145848
9	0.8559338659	1.724616579
10	0.8570845984	1.657003798
11	0.8659292751	1.572218435
12	0.8803142803	1.50039503
13	0.9006088635	1.423847394
14	0.8935807064	1.355623936
15	0.8993158985	1.294892954
16	0.8993158985	1.251185091
17	0.8993050017	1.212007736
18	0.899225371	1.16215036
19	0.9119827591	1.118518676
20	0.9264240546	1.06711696
21	0.9264240546	1.024599565
22	0.9343327175	0.9880042462
23	0.9343327175	0.9551465487
24	0.9343327175	0.9282415374
25	0.9430631476	0.8949547528
26	0.9491024653	0.8700457822
27	0.9491024653	0.8415855372
28	0.9491024653	0.8161775736
29	0.9491024653	0.790476612
30	0.9490677261	0.7652925679
31	0.9559582466	0.7373031191
32	0.9572796354	0.7195160693
33	0.9587344331	0.7044574172
34	0.9587344331	0.6857530422
35	0.9662583592	0.6659209349
36	0.9662583592	0.6487469059
37	0.9662448471	0.630785505
38	0.9682767337	0.6184726239
39	0.9662448471	0.6029784045
40	0.9682723368	0.5884910642
41	0.968987956	0.5760829415
42	0.968987956	0.5576357843
43	0.968987956	0.5392321976
44	0.9689644746	0.5256417416
45	0.9740530845	0.51552152
46	0.9740530845	0.5031648615
47	0.9770694156	0.4934885837
48	0.9770694156	0.4814087567
49	0.9770694156	0.4699970686
50	0.9770694156	0.4611209857
51	0.9797728373	0.4513159611
52	0.9770681792	0.4409816096
53	0.9812311218	0.4319688173
54	0.9812323582	0.4224996718
55	0.9812295984	0.4106451776
56	0.9812323355	0.4032963384
57	0.9812323355	0.3947502057
58	0.9812323355	0.3874656193
59	0.9812323355	0.3795329556
60	0.9812323355	0.3711395266
61	0.9837356642	0.3639086795
62	0.9837356642	0.356692172
63	0.9837344278	0.3495763179
64	0.9862218036	0.3434013323
65	0.9875744115	0.3374909757
66	0.9875744115	0.328524477
67	0.9875744115	0.3223358067
68	0.9875744115	0.3145420585
69	0.9875744115	0.3080726271
70	0.9875744115	0.3007170662
71	0.9875744115	0.2956829805
72	0.9881004904	0.2909811891
73	0.9880977534	0.2852616604
74	0.9880999409	0.2801306785
75	0.9880999409	0.2755701122
76	0.9880999409	0.2715795821
77	0.9880999409	0.2671726674
78	0.9880999409	0.2630002028
79	0.98810079	0.2585969592
80	0.9888420639	0.2546435537
81	0.989251583	0.2495155019
82	0.989251583	0.245738826
83	0.9888420639	0.2414767212
84	0.989251583	0.2368178626
85	0.9888420639	0.2329491681
86	0.9888420639	0.2284279324
87	0.9888420639	0.2255710118
88	0.9888420639	0.2216911834
89	0.9888420639	0.2182788936
90	0.9888420639	0.2156014947
91	0.9888420639	0.2122887036
92	0.9888420639	0.2091823555
93	0.9888420639	0.2057750812
94	0.9888420639	0.2028262282
95	0.9888420639	0.2000491926
96	0.9888420639	0.1977743386
97	0.9888420639	0.1946251955
98	0.9888420639	0.1922232147
99	0.9888420639	0.1901356726
100	0.9888425691	0.1868695716
101	0.9888425691	0.184162373
102	0.9888425691	0.181829626
103	0.9888425691	0.1799516636
104	0.9888425691	0.1769319395
105	0.9900806722	0.1747422272
106	0.9900806722	0.1717986482
107	0.9909737926	0.169274177
108	0.9909737926	0.1666018796
109	0.9909737926	0.1647334138
110	0.9909737926	0.1631388495
111	0.9909737926	0.1604659145
112	0.9909732875	0.1588766241
113	0.9909732875	0.1572306128
114	0.9909732875	0.1554286403
115	0.9909732875	0.1540352794
116	0.9909732875	0.1523944904
117	0.9909732875	0.1499969563
118	0.9920916225	0.1483178361
119	0.9930268611	0.1468799224
120	0.9930273663	0.145297371
121	0.9935782399	0.1432988399
122	0.9935782399	0.1413779102
123	0.9935782399	0.1394520168
124	0.9935782399	0.1380288908
125	0.9935782399	0.1368614056
126	0.9935782399	0.1352970459
127	0.9940953788	0.1334287266
128	0.9945048979	0.1315601488
129	0.9945048979	0.1299745984
130	0.9945048979	0.1286343478
131	0.9945048979	0.1273765244
132	0.9945048979	0.1262877781
133	0.9945048979	0.1249532151
134	0.9945048979	0.1238060071
135	0.9945048979	0.1226114627
136	0.9949069349	0.1215427178
137	0.9949069349	0.1203656412
138	0.9949069349	0.1192316267
139	0.9949069349	0.11796198
140	0.9949120927	0.1169812552
141	0.9949120927	0.1154092776
142	0.9949120927	0.1140951727
143	0.9949120927	0.1128468545
144	0.9949120927	0.1118745664
145	0.9949120927	0.1108800879
146	0.9949112436	0.1095807019
147	0.9949112436	0.1085147146
148	0.9949112436	0.1076344106
149	0.9949120927	0.1063474253
150	0.9949120927	0.1053619694
151	0.9949120927	0.1045630413
152	0.9949112436	0.1036275072
153	0.9949112436	0.1028995794
154	0.9949112436	0.1020935073
155	0.9949112436	0.1010100608
156	0.9949112436	0.1003371649
157	0.9949112436	0.09932245235
158	0.9952335542	0.09835788554
159	0.9952335542	0.09832425108
160	0.9952335542	0.09739384439
161	0.9952335542	0.09622596278
162	0.9952335542	0.09566438032
163	0.9952335542	0.09446089944
164	0.9952335542	0.09378665923
165	0.9952335542	0.09309480466
166	0.9952335542	0.09306384166
167	0.9952335542	0.09205174022
168	0.9952335542	0.09202315567
169	0.9952335542	0.09199675138
170	0.9952335542	0.09153973474
171	0.9952335542	0.09095362661
172	0.9952335542	0.09093016092
173	0.9952335542	0.08996850685
174	0.9952335542	0.08897962119
175	0.9952335542	0.08895773251
176	0.9952335542	0.08832761436
177	0.9952335542	0.08830785422
178	0.9952335542	0.08780481966
179	0.9952335542	0.0871012624
180	0.9952335542	0.08708263117
181	0.9952335542	0.08651083686
182	0.9952335542	0.08567860175
183	0.9952335542	0.08566112528
