iter	Passed	Remaining
0	130	45551
1	253	44099
2	344	39791
3	446	38624
4	556	38377
5	648	37162
6	739	36236
7	829	35481
8	923	34980
9	1014	34482
10	1107	34136
11	1199	33779
12	1283	33268
13	1368	32855
14	1454	32476
15	1537	32086
16	1627	31880
17	1712	31579
18	1795	31282
19	1892	31220
20	1984	31093
21	2096	31258
22	2194	31203
23	2291	31127
24	2385	31017
25	2466	30734
26	2565	30685
27	2664	30640
28	2766	30622
29	2860	30514
30	2960	30462
31	3066	30475
32	3163	30385
33	3262	30318
34	3349	30145
35	3426	29887
36	3523	29803
37	3628	29792
38	3718	29652
39	3826	29657
40	3918	29531
41	4028	29539
42	4107	29327
43	4186	29112
44	4283	29035
45	4386	28989
46	4485	28917
47	4570	28759
48	4655	28597
49	4742	28453
50	4841	28383
51	4928	28242
52	5015	28107
53	5098	27947
54	5184	27806
55	5271	27674
56	5360	27557
57	5434	27357
58	5526	27260
59	5603	27084
60	5689	26954
61	5779	26848
62	5881	26793
63	5966	26662
64	6047	26517
65	6131	26385
66	6211	26235
67	6294	26105
68	6376	25966
69	6460	25841
70	6555	25759
71	6653	25690
72	6745	25594
73	6845	25532
74	6932	25418
75	7019	25305
76	7095	25156
77	7179	25034
78	7262	24913
79	7345	24790
80	7432	24682
81	7515	24564
82	7598	24444
83	7687	24345
84	7771	24227
85	7854	24111
86	7936	23992
87	8018	23873
88	8106	23772
89	8200	23691
90	8282	23573
91	8369	23470
92	8463	23387
93	8546	23275
94	8626	23154
95	8704	23031
96	8785	22915
97	8873	22816
98	8964	22728
99	9049	22624
100	9134	22520
101	9225	22431
102	9309	22323
103	9395	22224
104	9469	22094
105	9560	22007
106	9654	21926
107	9732	21807
108	9822	21716
109	9905	21612
110	9988	21506
111	10075	21410
112	10160	21310
113	10249	21218
114	10340	21129
115	10428	21036
116	10508	20928
117	10596	20833
118	10677	20727
119	10765	20634
120	10853	20541
121	10940	20445
122	11013	20326
123	11107	20244
124	11194	20149
125	11293	20076
126	11365	19957
127	11451	19860
128	11544	19777
129	11635	19691
130	11745	19634
131	11834	19544
132	11916	19443
133	12000	19343
134	12086	19249
135	12161	19136
136	12233	19019
137	12305	18903
138	12381	18794
139	12469	18704
140	12548	18600
141	12638	18513
142	12721	18414
143	12809	18325
144	12900	18237
145	12976	18131
146	13057	18031
147	13130	17921
148	13209	17819
149	13286	17715
150	13357	17603
151	13440	17507
152	13525	17415
153	13600	17309
154	13685	17217
155	13762	17114
156	13842	17016
157	13925	16921
158	14010	16830
159	14084	16725
160	14162	16625
161	14247	16534
162	14322	16431
163	14399	16331
164	14477	16232
165	14562	16141
166	14637	16040
167	14722	15949
168	14796	15847
169	14874	15749
170	14953	15653
171	15028	15553
172	15103	15453
173	15185	15360
174	15261	15261
175	15333	15158
176	15416	15067
177	15488	14966
178	15567	14872
179	15647	14777
180	15720	14677
181	15797	14582
182	15875	14487
183	15948	14388
184	16027	14295
185	16113	14207
186	16196	14117
187	16278	14026
188	16363	13939
189	16449	13852
190	16523	13755
191	16606	13665
192	16686	13573
193	16764	13480
194	16842	13387
195	16916	13291
196	16998	13201
197	17068	13102
198	17140	13006
199	17225	12918
200	17300	12824
201	17380	12734
202	17467	12649
203	17543	12555
204	17615	12459
205	17687	12363
206	17760	12269
207	17838	12178
208	17909	12082
209	17986	11990
210	18067	11902
211	18140	11808
212	18213	11714
213	18289	11623
214	18361	11529
215	18439	11439
216	18513	11346
217	18592	11257
218	18664	11164
219	18736	11071
220	18809	10979
221	18881	10886
222	18954	10794
223	19028	10703
224	19100	10611
225	19172	10519
226	19245	10428
227	19330	10343
228	19405	10253
229	19477	10162
230	19553	10072
231	19627	9982
232	19699	9892
233	19777	9804
234	19849	9713
235	19920	9622
236	19992	9532
237	20067	9443
238	20137	9352
239	20209	9262
240	20283	9173
241	20354	9083
242	20426	8994
243	20504	8907
244	20576	8818
245	20648	8729
246	20728	8643
247	20800	8554
248	20870	8465
249	20943	8377
250	21016	8289
251	21089	8201
252	21161	8113
253	21233	8025
254	21304	7936
255	21375	7848
256	21454	7763
257	21526	7676
258	21598	7588
259	21673	7502
260	21748	7416
261	21819	7328
262	21891	7241
263	21963	7154
264	22035	7068
265	22107	6981
266	22179	6894
267	22250	6808
268	22324	6722
269	22395	6635
270	22469	6550
271	22541	6464
272	22620	6380
273	22692	6294
274	22764	6208
275	22840	6123
276	22912	6038
277	22983	5952
278	23056	5867
279	23130	5782
280	23201	5697
281	23272	5611
282	23347	5527
283	23417	5442
284	23487	5356
285	23560	5272
286	23631	5187
287	23704	5103
288	23777	5018
289	23848	4934
290	23920	4849
291	23991	4765
292	24065	4681
293	24144	4598
294	24218	4515
295	24290	4431
296	24362	4347
297	24437	4264
298	24514	4181
299	24586	4097
300	24659	4014
301	24731	3930
302	24805	3847
303	24879	3764
304	24953	3681
305	25029	3599
306	25110	3517
307	25187	3434
308	25261	3351
309	25335	3269
310	25410	3186
311	25480	3103
312	25556	3021
313	25633	2938
314	25706	2856
315	25778	2773
316	25855	2691
317	25930	2609
318	26001	2526
319	26075	2444
320	26149	2362
321	26222	2280
322	26293	2197
323	26368	2115
324	26442	2034
325	26518	1952
326	26591	1870
327	26665	1788
328	26738	1706
329	26809	1624
330	26883	1543
331	26956	1461
332	27030	1379
333	27104	1298
334	27176	1216
335	27250	1135
336	27323	1054
337	27397	972
338	27470	891
339	27546	810
340	27621	729
341	27695	647
342	27766	566
343	27840	485
344	27918	404
345	27996	323
346	28070	242
347	28146	161
348	28219	80
349	28290	0
