iter	Passed	Remaining
0	382	133389
1	502	87348
2	597	69057
3	680	58823
4	763	52670
5	846	48533
6	930	45587
7	1011	43232
8	1092	41380
9	1174	39916
10	1252	38608
11	1332	37521
12	1409	36536
13	1489	35757
14	1564	34940
15	1644	34335
16	1726	33810
17	1806	33325
18	1884	32826
19	1964	32408
20	2043	32011
21	2120	31614
22	2199	31267
23	2287	31070
24	2361	30704
25	2449	30520
26	2537	30361
27	2620	30139
28	2695	29839
29	2782	29683
30	2855	29384
31	2938	29203
32	3020	29014
33	3097	28785
34	3170	28536
35	3248	28330
36	3320	28093
37	3403	27943
38	3480	27751
39	3552	27533
40	3639	27428
41	3722	27300
42	3796	27106
43	3880	26986
44	3954	26805
45	4041	26712
46	4128	26616
47	4200	26427
48	4283	26314
49	4367	26206
50	4450	26095
51	4535	25990
52	4617	25875
53	4723	25889
54	4818	25842
55	4913	25795
56	5015	25781
57	5106	25707
58	5195	25624
59	5276	25504
60	5379	25487
61	5466	25393
62	5548	25275
63	5636	25188
64	5741	25172
65	5829	25083
66	5910	24965
67	6013	24940
68	6100	24842
69	6192	24770
70	6278	24673
71	6354	24533
72	6448	24469
73	6543	24405
74	6621	24278
75	6717	24219
76	6816	24168
77	6901	24065
78	6984	23959
79	7082	23901
80	7170	23812
81	7258	23724
82	7343	23622
83	7431	23534
84	7519	23443
85	7606	23351
86	7691	23250
87	7770	23134
88	7853	23030
89	7936	22926
90	8022	22832
91	8113	22753
92	8204	22671
93	8283	22559
94	8369	22464
95	8449	22355
96	8526	22240
97	8605	22127
98	8689	22029
99	8768	21922
100	8853	21827
101	8937	21731
102	9017	21625
103	9107	21542
104	9196	21458
105	9285	21373
106	9368	21276
107	9452	21181
108	9542	21097
109	9626	21004
110	9712	20912
111	9792	20809
112	9881	20725
113	9963	20625
114	10046	20529
115	10131	20437
116	10215	20343
117	10303	20257
118	10374	20139
119	10459	20047
120	10543	19954
121	10626	19859
122	10705	19756
123	10787	19660
124	10868	19563
125	10956	19478
126	11028	19365
127	11119	19285
128	11202	19192
129	11284	19097
130	11379	19023
131	11460	18927
132	11537	18824
133	11614	18722
134	11704	18640
135	11781	18538
136	11856	18433
137	11927	18323
138	12000	18216
139	12088	18132
140	12162	18027
141	12244	17935
142	12319	17833
143	12395	17731
144	12472	17634
145	12551	17537
146	12628	17439
147	12714	17353
148	12790	17253
149	12865	17153
150	12935	17047
151	13012	16950
152	13089	16853
153	13166	16757
154	13243	16660
155	13320	16565
156	13397	16470
157	13475	16375
158	13552	16279
159	13625	16179
160	13701	16084
161	13786	15999
162	13859	15900
163	13936	15805
164	14013	15711
165	14091	15619
166	14166	15524
167	14243	15430
168	14316	15333
169	14389	15235
170	14462	15138
171	14535	15042
172	14609	14946
173	14686	14855
174	14765	14765
175	14839	14670
176	14913	14576
177	14984	14478
178	15062	14389
179	15137	14296
180	15212	14203
181	15289	14113
182	15367	14024
183	15436	13926
184	15513	13836
185	15591	13746
186	15670	13658
187	15746	13568
188	15824	13480
189	15900	13389
190	15975	13298
191	16052	13209
192	16124	13117
193	16197	13024
194	16270	12932
195	16342	12840
196	16418	12751
197	16491	12660
198	16564	12568
199	16641	12480
200	16714	12390
201	16787	12300
202	16863	12211
203	16932	12118
204	17005	12028
205	17077	11937
206	17147	11845
207	17221	11756
208	17293	11666
209	17364	11576
210	17437	11487
211	17505	11394
212	17582	11308
213	17655	11220
214	17729	11132
215	17804	11045
216	17874	10955
217	17947	10867
218	18022	10780
219	18094	10692
220	18168	10605
221	18241	10517
222	18315	10430
223	18384	10341
224	18457	10254
225	18529	10166
226	18604	10080
227	18678	9994
228	18751	9907
229	18818	9818
230	18893	9732
231	18966	9646
232	19040	9560
233	19113	9475
234	19186	9389
235	19258	9302
236	19331	9217
237	19403	9130
238	19466	9040
239	19534	8953
240	19607	8868
241	19677	8781
242	19749	8696
243	19820	8610
244	19895	8526
245	19958	8437
246	20032	8353
247	20104	8268
248	20174	8183
249	20245	8098
250	20321	8015
251	20399	7933
252	20471	7848
253	20544	7764
254	20619	7681
255	20690	7597
256	20762	7513
257	20832	7428
258	20904	7344
259	20976	7260
260	21047	7176
261	21115	7092
262	21189	7009
263	21257	6924
264	21330	6841
265	21393	6755
266	21465	6672
267	21533	6588
268	21604	6505
269	21673	6421
270	21746	6339
271	21817	6256
272	21890	6174
273	21962	6091
274	22033	6009
275	22106	5927
276	22182	5845
277	22253	5763
278	22325	5681
279	22398	5599
280	22471	5517
281	22541	5435
282	22615	5354
283	22685	5271
284	22759	5190
285	22828	5108
286	22896	5026
287	22965	4943
288	23034	4861
289	23102	4779
290	23173	4698
291	23240	4616
292	23312	4535
293	23387	4454
294	23459	4373
295	23527	4292
296	23595	4210
297	23662	4129
298	23737	4048
299	23806	3967
300	23874	3886
301	23942	3805
302	24011	3724
303	24080	3643
304	24150	3563
305	24226	3483
306	24294	3402
307	24362	3322
308	24432	3241
309	24499	3161
310	24567	3080
311	24635	3000
312	24704	2920
313	24771	2840
314	24839	2759
315	24907	2679
316	24975	2600
317	25044	2520
318	25112	2440
319	25180	2360
320	25248	2281
321	25316	2201
322	25384	2121
323	25456	2042
324	25526	1963
325	25595	1884
326	25663	1805
327	25731	1725
328	25799	1646
329	25867	1567
330	25938	1488
331	26006	1409
332	26074	1331
333	26141	1252
334	26212	1173
335	26286	1095
336	26356	1016
337	26424	938
338	26493	859
339	26561	781
340	26634	702
341	26702	624
342	26770	546
343	26838	468
344	26907	389
345	26978	311
346	27052	233
347	27121	155
348	27189	77
349	27257	0
