iter	TotalF1:average=Weighted	MultiClass
0	0.5831245123	3.11735999
1	0.5827989423	2.846556439
2	0.5831889066	2.637444903
3	0.6357435326	2.445769025
4	0.6768211917	2.291997031
5	0.6758829188	2.165215327
6	0.6972834281	2.053480486
7	0.7935215577	1.919280347
8	0.8200609735	1.807228931
9	0.8429195093	1.707961329
10	0.8487845682	1.631243961
11	0.8619506666	1.547702151
12	0.8760905921	1.478476846
13	0.8821862116	1.423055265
14	0.8867233124	1.368530189
15	0.887344973	1.306953306
16	0.8885324675	1.250678652
17	0.8919229854	1.216605944
18	0.8966172575	1.168231345
19	0.8992319354	1.124025661
20	0.9079383669	1.080876355
21	0.9070788308	1.044304614
22	0.913659449	1.001607904
23	0.9175603291	0.9644800188
24	0.927082012	0.9287364628
25	0.9301802086	0.8977904914
26	0.9304101555	0.8689763048
27	0.9313843618	0.8407248813
28	0.9344547265	0.8131510072
29	0.9348554282	0.7901567271
30	0.9477926634	0.7657531608
31	0.9515382006	0.7488097385
32	0.9512079749	0.7311805629
33	0.9518224145	0.7138834058
34	0.9518048632	0.6929710664
35	0.9541153754	0.6679282818
36	0.9546253856	0.6486079904
37	0.954882188	0.6350794087
38	0.9593052217	0.6192333158
39	0.9593052217	0.6022387395
40	0.9598305255	0.5876330969
41	0.9598305255	0.5741002754
42	0.9601325425	0.5583166083
43	0.965335518	0.5424706878
44	0.9656455701	0.5283186407
45	0.9656455701	0.5164084768
46	0.9670270251	0.5051809639
47	0.9675630126	0.4943016016
48	0.9678380418	0.4796723813
49	0.9694359646	0.4656370853
50	0.974785595	0.4524486571
51	0.9756472515	0.4400425681
52	0.9775853351	0.4283355381
53	0.977583857	0.4176031574
54	0.9805933871	0.4064754017
55	0.9820542831	0.3952879088
56	0.9820542831	0.3854456218
57	0.9822587135	0.3761860906
58	0.9822400169	0.3673800514
59	0.9815437772	0.3614307777
60	0.9822338517	0.3531171132
61	0.9827814178	0.3432041274
62	0.9827814178	0.33812199
63	0.9829147983	0.3294525225
64	0.9832255634	0.3223947165
65	0.9832255634	0.3139063906
66	0.9832255634	0.3085591762
67	0.9832255634	0.3019259417
68	0.9832255634	0.2974740259
69	0.9836862274	0.2905392791
70	0.9836862274	0.285264642
71	0.9840115389	0.2790260586
72	0.984207063	0.2735719344
73	0.9847841317	0.2687237129
74	0.9847841317	0.2643924089
75	0.9858664035	0.2576156743
76	0.986601427	0.2511738708
77	0.986601427	0.2453019831
78	0.986893314	0.2398399652
79	0.9881504357	0.234150012
80	0.9881504357	0.2296276732
81	0.988150943	0.2253067448
82	0.9883381112	0.2207061929
83	0.9885340636	0.2161263231
84	0.9885340636	0.2123198993
85	0.9885340636	0.2081149636
86	0.9886913379	0.2047585848
87	0.98947611	0.2013551367
88	0.98947611	0.1971559748
89	0.9899783968	0.194204864
90	0.9902267483	0.190856465
91	0.9902267483	0.1876840372
92	0.9902267483	0.1848719971
93	0.9902267483	0.1825001089
94	0.9902267483	0.1795574089
95	0.9902267483	0.1775145575
96	0.990616579	0.1744772536
97	0.9909878889	0.1724717509
98	0.9916793368	0.1696143822
99	0.9916793368	0.1673145026
100	0.9916793368	0.165072809
101	0.9916793368	0.1625671241
102	0.9920233158	0.160506262
103	0.9922994286	0.1578990792
104	0.9922994286	0.1558788404
105	0.9922994286	0.1536325278
106	0.9926214316	0.1514270625
107	0.9926214316	0.1497628681
108	0.9926214316	0.1475015436
109	0.9927594031	0.1449224369
110	0.9927823971	0.1428335159
111	0.9932032455	0.1409670063
112	0.9936565262	0.1387918405
113	0.9938107836	0.1374696954
114	0.9938107836	0.1360770584
115	0.9938107836	0.1347377471
116	0.9938107836	0.1334743826
117	0.9938107836	0.132277701
118	0.9938107836	0.1307073004
119	0.9938107836	0.1294879028
120	0.9945523153	0.1283318532
121	0.9945523153	0.1271204097
122	0.9945523153	0.125311319
123	0.9945523153	0.1238751288
124	0.9948110624	0.1223580452
125	0.9948110624	0.1211668444
126	0.9948110624	0.1198208717
127	0.9949367543	0.1188518754
128	0.9949367543	0.1174569548
129	0.995257226	0.1155338276
130	0.995257226	0.1140141329
131	0.995257226	0.1122085841
132	0.995257226	0.1107996858
133	0.9952988465	0.1094457763
134	0.9952988465	0.108195657
135	0.9952988465	0.1069156347
136	0.9952988465	0.1060704904
137	0.9955247774	0.1049987897
138	0.9957054902	0.1043054788
139	0.9957054902	0.1035886074
140	0.9957054902	0.103069208
141	0.9961398047	0.1016066048
142	0.9962438533	0.1002319442
143	0.9962438533	0.09891160876
144	0.9965404871	0.09783995978
145	0.9965404871	0.09694090388
146	0.9965404871	0.09606278011
147	0.9965404871	0.09505575443
148	0.9965404871	0.09446784522
149	0.9965404871	0.09319355362
150	0.9965404871	0.09276718975
151	0.9965404871	0.09183220712
152	0.9965404871	0.09093023847
153	0.9965404871	0.09039245779
154	0.9966517165	0.08953560223
155	0.9970785765	0.08835021829
156	0.9972726214	0.08754667114
157	0.9972726214	0.08660239013
158	0.9972726214	0.0858396645
159	0.9972726214	0.08542454659
160	0.9972726214	0.08473468268
161	0.9972726214	0.08401337319
162	0.9972726214	0.08366894536
163	0.9972726214	0.08296400067
164	0.9972726214	0.0824183866
165	0.9972726214	0.08174555105
166	0.9972726214	0.08138345716
167	0.9972726214	0.08098391124
168	0.9972726214	0.08064049167
169	0.9972726214	0.08005213435
170	0.9972726214	0.07972597581
171	0.9972726214	0.07917200268
172	0.9972726214	0.07885510805
173	0.9972726214	0.07838610435
174	0.9972726214	0.07763266848
175	0.9972726214	0.0770351162
176	0.9972726214	0.07625481068
177	0.9972726214	0.07551635219
178	0.9972726214	0.07481005453
179	0.9972726214	0.07454884677
